Data	Otwarcie	Najwyzszy	Najnizszy	Zamkniecie	Wolumen
2011-06-27	2.6	2.6	2.199	2.2	519640
2011-06-28	2.2	2.2	1.95	2.17	77130
2011-06-29	2.11	2.315	1.975	2.301	158340
2011-06-30	2.301	2.334	2.2	2.3	108640
2011-07-01	2.328	2.329	2.18	2.299	11930
2011-07-04	2.3	2.3	2.15	2.2	27010
2011-07-05	2.181	2.21	2.05	2.052	29310
2011-07-06	2.178	2.178	2.052	2.16	9730
2011-07-07	2	2.18	2	2.18	22690
2011-07-08	2.148	2.18	2.02	2.1	142210
2011-07-11	2.01	2.129	2.01	2.03	12530
2011-07-12	2.1	2.1	1.93	2	46930
2011-07-13	2.02	2.095	1.925	2	20780
2011-07-14	2	2.069	2	2.038	13790
2011-07-15	2.07	2.07	2	2.041	7350
2011-07-18	2.049	2.049	1.8	2	12400
2011-07-19	2.13	2.13	1.85	2	6110
2011-07-20	2	2	1.9	1.9	1080
2011-07-21	1.999	1.999	1.881	1.94	10140
2011-07-22	1.989	2.14	1.97	2.08	55290
2011-07-25	2.12	2.18	2.1	2.17	33760
2011-07-26	2.1	2.17	2.1	2.1	7220
2011-07-27	2.001	2.16	1.95	1.96	15410
2011-07-28	2.05	2.17	1.901	2.169	27390
2011-07-29	2.1	2.169	2.002	2.169	19700
2011-08-01	2.169	2.25	2.169	2.249	6520
2011-08-02	2.25	2.32	2.17	2.17	51520
2011-08-03	2.1	2.2	1.97	2.099	19610
2011-08-04	2.2	2.2	1.9	2.195	28910
2011-08-05	2.05	2.25	1.95	2.2	56520
2011-08-08	2.251	2.285	1.97	2.1	45870
2011-08-09	2.249	2.249	1.95	2.03	55600
2011-08-10	2.02	2.05	1.92	2	11560
2011-08-11	1.95	2.244	1.95	2.194	136420
2011-08-12	2.193	2.238	2.162	2.231	10270
2011-08-16	2.1	2.2	2.1	2.2	15140
2011-08-17	2.2	2.2	2.08	2.189	10220
2011-08-18	2.195	2.195	1.957	2.149	18360
2011-08-19	2.149	2.149	1.934	2.148	24950
2011-08-22	2.145	2.145	2.05	2.144	11100
2011-08-23	2.144	2.144	1.947	2.135	39480
2011-08-24	2.1	2.28	1.98	2.28	103710
2011-08-25	2.154	2.2	2.151	2.16	12110
2011-08-26	2.211	2.211	1.951	2.14	86100
2011-08-29	2.011	2.175	2.011	2.175	3030
2011-08-30	2.169	2.169	2.05	2.13	13990
2011-08-31	2.13	2.15	2.099	2.15	54450
2011-09-01	2.148	2.148	2.148	2.148	2800
2011-09-02	2.1	2.143	2.1	2.143	1350
2011-09-05	2.055	2.109	1.978	2.109	22520
2011-09-06	2.1	2.1	1.99	2.049	18480
2011-09-07	2.049	2.108	1.986	1.986	3060
2011-09-08	2.09	2.09	2.09	2.09	3500
2011-09-09	2.099	2.099	1.901	1.901	19220
2011-09-12	2.019	2.019	1.9	1.9	780
2011-09-13	1.999	1.999	1.8	1.9	7920
2011-09-14	1.95	1.999	1.8	1.999	10380
2011-09-15	1.99	1.99	1.92	1.99	540
2011-09-16	1.999	1.999	1.87	1.99	2080
2011-09-19	1.999	1.999	1.85	1.95	5530
2011-09-20	1.999	1.999	1.92	1.92	1570
2011-09-21	1.999	1.999	1.999	1.999	10
2011-09-22	1.998	1.998	1.84	1.94	6560
2011-09-23	1.9	1.94	1.751	1.938	5800
2011-09-26	1.939	1.939	1.84	1.84	520
2011-09-27	1.939	1.94	1.85	1.94	3310
2011-09-28	1.801	1.89	1.801	1.89	1400
2011-09-29	1.939	1.939	1.82	1.9	1760
2011-09-30	1.9	1.9	1.8	1.88	1800
2011-10-03	1.79	1.84	1.75	1.84	2900
2011-10-04	1.84	1.84	1.67	1.745	3760
2011-10-05	1.67	1.72	1.4	1.72	7530
2011-10-06	1.725	1.75	1.7	1.745	7070
2011-10-07	1.759	1.92	1.67	1.82	10280
2011-10-10	1.91	1.91	1.75	1.815	5420
2011-10-11	1.8	1.819	1.73	1.819	4860
2011-10-12	1.869	1.869	1.869	1.869	10
2011-10-13	1.85	1.85	1.85	1.85	10
2011-10-14	1.95	1.95	1.949	1.949	70
2011-10-17	1.979	1.979	1.8	1.95	5150
2011-10-18	1.977	1.977	1.88	1.95	2660
2011-10-19	1.96	1.96	1.95	1.955	2240
2011-10-20	1.96	1.96	1.96	1.96	50
2011-10-21	1.96	1.96	1.87	1.96	8120
2011-10-24	1.98	1.98	1.98	1.98	20
2011-10-25	1.979	1.98	1.83	1.98	9540
2011-10-26	2	2.075	1.935	1.98	40900
2011-10-27	2.05	2.25	1.9	1.99	164040
2011-10-28	2	2.07	2	2.07	32460
2011-10-31	2.08	2.088	2.011	2.088	11700
2011-11-02	2	2.05	2	2.05	9140
2011-11-03	2	2.075	2	2.075	6300
2011-11-04	2.075	2.08	2.002	2.08	3260
2011-11-07	2	2.07	2	2.015	11070
2011-11-08	2.08	2.15	2.015	2.1	19220
2011-11-09	2.057	2.184	2.057	2.121	56160
2011-11-10	2.19	2.19	2.05	2.14	8190
2011-11-14	2.167	2.167	2.01	2.109	8040
2011-11-15	2.1	2.135	2.1	2.135	3060
2011-11-16	2.08	2.134	2.08	2.133	4040
2011-11-17	2.133	2.134	2.06	2.1	4770
2011-11-18	2.061	2.1	2.061	2.1	1960
2011-11-21	2.1	2.144	2.05	2.05	27420
2011-11-22	2.068	2.121	2.068	2.085	800
2011-11-23	2.088	2.118	2.088	2.117	3150
2011-11-24	2.089	2.115	2.089	2.115	1410
2011-11-25	2.115	2.115	2.034	2.114	10120
